stim,leak_rate,N_x,RMSE,NRMSE,csv_seed,reservoir_seed
10-5,0.3,1200,0.10283533440404923,0.561564305544983,136,724
10-5,0.5,400,0.14672537946645534,0.8012395379798533,136,724
10-5,0.5,600,0.15015213114423778,0.8199523805777885,136,724
10-5,0.5,800,0.14437484180141988,0.7884036964943124,136,724
10-5,0.5,1000,0.14370436369709358,0.7847423424157643,136,724
10-5,0.5,1200,0.13493441232124007,0.7368512971579729,136,724
10-5,0.7,400,0.15057845172747553,0.8222804366263524,136,724
10-5,0.7,600,0.14947465132301596,0.8162527914479437,136,724
10-5,0.7,800,0.14674314891107873,0.8013365735551027,136,724
10-5,0.7,1000,0.14505845929665012,0.7921368023007176,136,724
10-5,0.7,1200,0.1441204055373479,0.787014268193553,136,724
10-5,0.9,400,0.15655491017111184,0.8549167454881722,136,724
10-5,0.9,600,0.15327749730872597,0.8370194139073898,136,724
10-5,0.9,800,0.15019504036871903,0.8201866997345932,136,724
10-5,0.9,1000,0.14966357389620422,0.8172844618774615,136,724
10-5,0.9,1200,0.1485950940717212,0.8114496957039292,136,724
10-5,0.1,400,0.07266604826324395,0.39681554172142625,136,725
10-5,0.1,600,0.0949986888451956,0.5187698667797164,136,725
10-5,0.1,800,0.10290543427402203,0.5619471076725612,136,725
10-5,0.1,1000,0.07684673616652087,0.41964548740798946,136,725
10-5,0.1,1200,0.06322914646739419,0.345282406401803,136,725
10-5,0.3,400,0.1475287746936317,0.8056267273194125,136,725
10-5,0.3,600,0.13287682566183798,0.7256152056901723,136,725
10-5,0.3,800,0.12081403559620504,0.6597425913266473,136,725
10-5,0.3,1000,0.12500071700891813,0.6826052664343166,136,725
10-5,0.3,1200,0.1191493759066878,0.650652199702699,136,725
10-5,0.5,400,0.15083688623592603,0.8236916985832266,136,725
10-5,0.5,600,0.14697088755762328,0.8025802112175238,136,725
10-5,0.5,800,0.1427067973525464,0.7792948213398897,136,725
10-5,0.5,1000,0.14538131965558945,0.7938998816382477,136,725
10-5,0.5,1200,0.13999185065458325,0.7644690110688503,136,725
10-5,0.7,400,0.15344653146674817,0.8379424774644172,136,725
10-5,0.7,600,0.14677089256111303,0.8014880763790598,136,725
10-5,0.7,800,0.1459759649941444,0.7971471273298804,136,725
10-5,0.7,1000,0.1461070252575233,0.7978628226326228,136,725
10-5,0.7,1200,0.14522147517892176,0.7930270011924816,136,725
10-5,0.9,400,0.15831682969982025,0.8645382546931476,136,725
10-5,0.9,600,0.15078347173488357,0.8234000120986367,136,725
10-5,0.9,800,0.1513894319904386,0.8267090464113138,136,725
10-5,0.9,1000,0.1487486778640079,0.8122883877367627,136,725
10-5,0.9,1200,0.15012955967531275,0.8198291220563331,136,725
10-5,0.1,400,0.061680636378813346,0.3368262857739786,146,721
10-5,0.1,600,0.0984691044986087,0.5377211500876902,146,721
10-5,0.1,800,0.06382189005666307,0.3485192670003806,146,721
10-5,0.1,1000,0.0707930621251641,0.3865875187756014,146,721
10-5,0.1,1200,0.07635810143082698,0.4169771455622096,146,721
10-5,0.3,400,0.12872098006486798,0.7029209191383824,146,721
10-5,0.3,600,0.12337415414181938,0.673722914349977,146,721
10-5,0.3,800,0.12143710577552741,0.6631450596959548,146,721
10-5,0.3,1000,0.12229820885856019,0.667847380718474,146,721
10-5,0.3,1200,0.11954131390438633,0.6527924989565477,146,721
10-5,0.5,400,0.1432884076179542,0.782470884963199,146,721
10-5,0.5,600,0.14432437798459896,0.7881281231380102,146,721
10-5,0.5,800,0.14345658602749553,0.7833892754396735,146,721
10-5,0.5,1000,0.14494161220746757,0.7914987224532408,146,721
10-5,0.5,1200,0.1457593849123149,0.7959644244782557,146,721
10-5,0.7,400,0.1497894659820146,0.8179719347402806,146,721
10-5,0.7,600,0.14753383052332317,0.8056543362488344,146,721
10-5,0.7,800,0.146409990270887,0.799517257252007,146,721
10-5,0.7,1000,0.1467304286281781,0.8012671104967596,146,721
10-5,0.7,1200,0.1494744986718722,0.8162519578489281,146,721
10-5,0.9,400,0.15598691287265112,0.8518150197018947,146,721
10-5,0.9,600,0.1522451941140383,0.8313822014648363,146,721
10-5,0.9,800,0.14831980446460283,0.8099463912420818,146,721
10-5,0.9,1000,0.1479806172270229,0.8080941539092125,146,721
10-5,0.9,1200,0.15061282456097477,0.8224681401670223,146,721
10-5,0.1,400,0.08300224585212052,0.453259561227086,146,722
10-5,0.1,600,0.07882225419501011,0.43043341760911374,146,722
10-5,0.1,800,0.08167247607129215,0.445997940035954,146,722
10-5,0.1,1000,0.1115367931832958,0.6090813256909641,146,722
10-5,0.1,1200,0.0647377560796382,0.35352063807720796,146,722
10-5,0.3,400,0.13503785448925534,0.7374161752670606,146,722
10-5,0.3,600,0.12130132857182843,0.6624036060745325,146,722
10-5,0.3,800,0.12068283040766538,0.6590261046150206,146,722
10-5,0.3,1000,0.13261321847177635,0.7241756966976505,146,722
10-5,0.3,1200,0.11792580350890713,0.6439705023286819,146,722
10-5,0.5,400,0.14542362530336833,0.7941309047768726,146,722
10-5,0.5,600,0.14244929088033834,0.7778886272133584,146,722
10-5,0.5,800,0.14631153583346426,0.7989796161960457,146,722
10-5,0.5,1000,0.14627413560383568,0.798775380617873,146,722
10-5,0.5,1200,0.142546073107269,0.7784171366441914,146,722
10-5,0.7,400,0.15100259262014135,0.8245965897970833,146,722
10-5,0.7,600,0.14547471403735626,0.7944098906875945,146,722
10-5,0.7,800,0.14735392127231925,0.8046718858665157,146,722
10-5,0.7,1000,0.148346854656608,0.8100941072229386,146,722
10-5,0.7,1200,0.14546937531370083,0.7943807369277567,146,722
10-5,0.9,400,0.15673009531192056,0.8558733983984794,146,722
10-5,0.9,600,0.1511996865740669,0.8256728825908466,146,722
10-5,0.9,800,0.15009612234980835,0.8196465271478323,146,722
10-5,0.9,1000,0.1504263468735761,0.8214498207962482,146,722
